date, pm25, o3, no2, co
2021/4/30, 37, 40, 5, 
2021/5/1, 25, 44, 2, 
2021/5/2, 30, 37, 1, 
2021/5/3, 27, 32, 3, 
2021/5/4, 29, 35, 2, 
2021/5/5, 17, 35, 4, 
2021/5/6, 21, 38, 3, 
2021/5/7, 30, 36, 5, 
2021/5/8, 33, 29, 4, 
2021/5/9, 25, 34, 2, 
2021/5/10, 22, 38, 7, 
2021/5/11, 27, 32, 4, 
2021/5/12, 25, 32, 7, 
2021/5/13, 27, 36, 5, 
2021/5/14, 21, 32, 5, 
2021/5/15, 26, 33, 3, 
2021/5/16, 35, 33, 3, 
2021/5/17, 36, 31, 3, 
2021/5/18, 30, 27, 3, 
2021/5/19, 24, 27, 2, 
2021/5/20, 26, 23, 2, 
2021/5/21, 23, 24, 1, 
2021/5/22, 26, 25, 1, 
2021/5/23, 23, 26, 1, 
2021/5/24, 31, 31, 2, 
2021/5/25, 35, 29, 1, 
2021/5/26, 32, 36, 4, 
2021/5/27, 22, 31, 3, 
2021/5/28, 19, 23, 2, 
2021/5/29, 11, 35, 3, 
2021/5/30, 15, 32, 3, 
2021/5/31, 22, 35, 5, 
2021/6/1, 28, 36, 2, 
2021/6/2, 20, 45, 5, 
2021/6/3, 33, 50, 3, 
2021/6/4, 34, 44, 3, 
2021/6/5, 30, 41, 2, 
2021/6/6, 28, 34, 1, 
2021/6/7, 30, 35, 2, 
2021/6/8, 19, 36, 4, 
2021/6/9, 19, 42, 5, 
2021/6/10, 36, 41, 3, 
2021/6/11, 29, 36, 4, 
2021/6/12, 27, 44, 3, 
2021/6/13, 20, 51, 3, 
2021/6/14, 27, 46, 4, 
2021/6/15, 30, 46, 7, 
2021/6/16, 37, 41, 4, 
2021/6/17, 40, 49, 4, 
2021/6/18, 38, 51, 4, 
2021/6/19, 38, 42, 4, 
2021/6/20, 28, 38, 2, 
2021/6/21, 28, 31, 1, 
2021/6/22, 15, 30, 6, 
2021/6/23, 28, 42, 3, 
2021/6/24, 30, 36, 2, 
2021/6/25, 29, 35, 3, 
2021/6/26, 17, 29, 1, 
2021/6/27, 11, 33, 1, 
2021/6/28, 21, 30, 3, 
2021/6/29, 26, 25, 2, 
2021/6/30, 18, 38, 4, 
2021/7/1, 20, 37, 5, 
2021/1/5, 52, , 14, 
2021/1/6, 40, , 10, 
2021/1/7, 61, , 10, 
2021/1/8, 71, , 7, 
2021/1/9, 65, , 4, 
2021/1/10, 55, , 4, 
2021/1/11, 46, , 4, 
2021/1/12, 35, , 9, 
2021/1/13, 33, , 8, 
2021/1/14, 28, , 6, 
2021/1/15, 24, , 3, 
2021/1/16, 18, , 2, 
2021/1/17, 16, , 3, 
2021/1/18, 18, , 7, 
2021/1/19, 30, , 7, 
