date, pm25, pm10, o3, no2
2022/1/1, 46, 27, 5, 9
2022/1/2, 74, 20, 24, 8
2022/1/3, 48, 14, 17, 9
2021/7/2, 26, 12, 34, 4
2021/7/3, 30, 4, 24, 1
2021/7/4, 21, 3, 19, 1
2021/7/5, 16, 6, 26, 5
2021/7/6, 15, 15, 26, 3
2021/7/7, 22, 12, 21, 3
2021/7/8, 19, 8, 21, 4
2021/7/9, 16, 10, 34, 6
2021/7/10, 22, 6, 22, 3
2021/7/11, 19, 5, 25, 2
2021/7/12, 21, 8, 19, 1
2021/7/13, 16, 6, 22, 2
2021/7/14, 19, 9, 26, 
2021/7/15, 25, 8, 24, 2
2021/7/16, 22, 10, 32, 2
2021/7/17, 27, 5, 36, 1
2021/7/18, 26, 13, 35, 1
2021/7/19, 46, 18, 35, 5
2021/7/20, 37, 30, 46, 6
2021/7/21, 52, 26, 51, 3
2021/7/22, 59, 21, 49, 7
2021/7/23, 58, 17, 33, 3
2021/7/24, 46, 7, 25, 1
2021/7/25, 18, 12, 40, 1
2021/7/26, 34, 16, 36, 3
2021/7/27, 42, 19, 30, 5
2021/7/28, 42, 14, 28, 3
2021/7/29, 21, 10, 30, 5
2021/7/30, 22, 16, 21, 2
2021/7/31, 18, 6, 23, 4
2021/8/1, 19, 4, 24, 2
2021/8/2, 13, 7, 26, 4
2021/8/3, 20, 10, 26, 6
2021/8/4, 16, 5, 23, 3
2021/8/5, 15, 10, 26, 3
2021/8/6, 18, 12, 26, 2
2021/8/7, 21, 9, 26, 2
2021/8/8, 19, 6, 25, 2
2021/8/9, 18, 9, 28, 6
2021/8/10, 28, 15, 35, 4
2021/8/11, 26, 13, 37, 3
2021/8/12, 29, 17, 24, 6
2021/8/13, 46, 11, 36, 2
2021/8/14, 38, 15, 42, 3
2021/8/15, 46, 10, 29, 
2021/8/16, 34, 12, 23, 2
2021/8/17, 19, 17, 32, 3
2021/8/18, 33, 14, 29, 6
2021/8/19, 28, 6, 26, 3
2021/8/20, 34, 7, 34, 4
2021/8/21, 21, 5, 27, 2
2021/8/22, 25, 7, 24, 3
2021/8/23, 22, 8, 30, 3
2021/8/24, 17, 6, 33, 2
2021/8/25, 22, 10, 35, 3
2021/8/26, 25, 11, 42, 4
2021/8/27, 34, 11, 36, 2
2021/8/28, 24, 8, 33, 2
2021/8/29, 17, 6, 34, 2
2021/8/30, 19, 6, 31, 3
2021/8/31, 24, 8, 36, 3
2021/9/1, 28, 11, 38, 6
2021/9/2, 35, 15, 29, 9
2021/9/3, 35, 10, 31, 8
2021/9/4, 36, 11, 41, 5
2021/9/5, 43, 11, 41, 4
2021/9/6, 38, 11, 41, 9
2021/9/7, 35, 14, 39, 6
2021/9/8, 39, 16, 29, 5
2021/9/9, 52, 9, 24, 7
2021/9/10, 22, 10, 33, 5
2021/9/11, 21, 6, 35, 5
2021/9/12, 26, 6, 35, 4
2021/9/13, 18, 12, 35, 9
2021/9/14, 32, 19, 26, 7
2021/9/15, 42, 17, 29, 5
2021/9/16, 33, 14, 33, 3
2021/9/17, 35, 13, 31, 8
2021/9/18, 25, 8, 23, 8
2021/9/19, 21, 7, 31, 3
2021/9/20, 18, 10, 26, 3
2021/9/21, 15, 13, 31, 4
2021/9/22, 36, 16, 23, 10
2021/9/23, 46, 18, 37, 9
2021/9/24, 43, 17, 35, 13
2021/9/25, 42, 10, 35, 7
2021/9/26, 34, 10, 36, 5
2021/9/27, 29, 16, 30, 7
2021/9/28, 27, 17, 25, 11
2021/9/29, 24, , , 
2021/10/1, 25, 15, 27, 10
2021/4/2, 45, 32, 42, 9
2021/4/3, 52, 19, 34, 2
2021/4/4, 48, 9, 36, 2
2021/4/5, 32, 18, 39, 3
2021/4/6, 50, 18, 37, 2
2021/4/7, 29, 18, 36, 7
2021/4/8, 43, 34, 40, 7
2021/4/9, 68, 19, 32, 5
2021/4/10, 41, 8, 32, 2
2021/4/11, 23, 7, 36, 1
2021/4/12, 26, 7, 36, 3
2021/4/13, 24, 10, 37, 5
2021/4/14, 64, 9, 39, 3
2021/4/15, 27, 13, 40, 4
2021/4/16, 37, 17, 39, 4
2021/4/17, 40, 13, 35, 3
2021/4/18, 48, 13, 39, 2
2021/4/19, 47, 20, 41, 10
2021/4/20, 48, 27, 41, 8
2021/4/21, 42, 17, 44, 6
2021/4/22, 39, 9, 43, 4
2021/4/23, 24, 13, 49, 6
2021/4/24, 30, 8, 52, 4
2021/4/25, 24, 7, 43, 3
2021/4/26, 22, 11, 29, 9
2021/4/27, 33, 12, 30, 7
2021/4/28, 35, 20, 42, 3
