date, pm25, pm10, o3, no2
2021/6/1, 40, 12, 35, 7
2021/6/2, 35, 12, 35, 8
2021/6/3, 29, 12, 37, 7
2021/6/4, 23, 13, 37, 8
2021/6/5, 35, 14, 40, 3
2021/6/6, 45, 10, 40, 1
2021/6/7, 37, 11, 35, 4
2021/6/8, 34, 9, 31, 4
2021/6/9, 25, 9, 38, 2
2021/6/10, 32, 5, 32, 1
2021/6/11, 27, 12, 27, 1
2021/6/12, 29, 11, 26, 
2021/6/13, 24, 8, 21, 
2021/6/14, 17, 5, 27, 3
2021/6/15, 11, 8, 22, 1
2021/6/16, 15, 8, 34, 
2021/6/17, 20, 10, 36, 6
2021/6/18, 30, 8, 24, 2
2021/6/19, 21, 11, 22, 2
2021/6/20, 34, 10, 25, 5
2021/6/21, 32, 7, 24, 1
2021/6/22, 18, 6, 23, 2
2021/6/23, 15, 7, 26, 4
2021/6/24, 17, 9, 26, 5
2021/6/25, 26, 4, 23, 4
2021/6/26, 12, 7, 21, 2
2021/6/27, 20, 7, 27, 1
2021/6/28, 21, 10, 26, 2
2021/6/29, 24, 20, 27, 2
2021/6/30, 48, 15, 29, 6
2021/7/1, 42, 13, 29, 8
2021/1/5, 98, 33, , 25
2021/1/6, 86, 39, , 23
2021/1/7, 100, 18, , 16
2021/1/8, 53, 15, , 16
2021/1/9, 40, 4, , 1
2021/1/10, 15, 7, , 5
2021/1/11, 25, 16, , 18
2021/1/12, 41, 9, , 7
2021/1/13, 25, 9, , 7
2021/1/14, 25, 28, 1, 23
2021/1/15, 73, 25, 5, 23
2021/1/16, 72, 10, 27, 8
2021/1/17, 33, 3, 23, 2
2021/1/18, 12, 3, 28, 2
2021/1/19, 10, 6, 30, 4
2021/1/20, 16, 5, 26, 8
2021/1/21, 19, 2, 29, 4
2021/1/22, 5, 3, 25, 6
2021/1/23, 6, , , 
2021/2/17, 8, 4, 30, 5
2021/2/18, 8, 3, 31, 1
2021/2/19, 7, 3, 34, 1
2021/2/20, 10, 4, 32, 1
2021/2/21, 8, 20, 29, 1
2021/2/22, 51, 10, 30, 6
2021/2/23, 28, 5, 31, 1
2021/2/24, 12, 12, 29, 1
2021/2/25, 37, 12, 33, 2
2021/2/26, 35, 11, 32, 4
2021/2/27, 26, 9, 29, 2
2021/2/28, 23, 16, 29, 2
2021/3/1, 40, 5, 26, 5
2021/3/2, 16, 8, 25, 7
2021/3/3, 19, 5, 34, 3
2021/3/4, 15, 6, 31, 3
2021/3/5, 11, 7, 27, 7
2021/3/6, 17, 7, 34, 3
