date, pm10, no2, co
2019/10/3, 20, 9, 3
2019/10/4, 22, 10, 4
2019/10/5, 15, 13, 4
2019/10/6, 19, 11, 3
2019/10/7, 20, 15, 
2019/10/8, 32, 15, 5
2019/10/9, 46, 14, 6
2019/10/10, 40, , 
2019/10/19, 23, 10, 3
2019/10/20, 24, 9, 3
2019/10/21, 15, 13, 3
2019/10/22, 20, 13, 4
2019/10/23, 24, 14, 3
2019/10/24, 28, 16, 4
2019/10/25, 32, 16, 5
2019/10/26, 32, 9, 4
2019/10/27, 27, 10, 5
2019/10/28, 22, 6, 4
2019/10/29, 19, 9, 4
2019/10/30, 13, 12, 4
2019/10/31, 23, 9, 3
2019/11/1, 20, 11, 6
2019/11/2, 24, 6, 2
2019/11/4, 22, , 
2019/11/8, 39, 9, 3
2019/11/9, 36, 6, 2
2019/11/10, 32, 6, 2
2019/11/12, 25, 9, 2
2019/11/13, 24, 17, 6
2019/11/14, 36, 9, 4
2019/11/15, 43, 10, 4
2019/11/16, 27, 13, 5
2019/11/17, 23, 13, 5
2019/11/18, 21, 13, 5
2019/11/19, 28, 12, 4
2019/11/20, 26, 9, 5
2019/11/21, 29, 7, 4
2019/11/22, 43, 7, 1
2019/11/23, 33, 4, 2
2019/11/28, 41, 13, 4
2019/11/29, 32, 14, 7
2019/11/30, 31, 3, 3
2019/12/1, 38, 5, 3
2019/12/2, 36, 11, 3
2019/12/3, 25, 13, 5
2019/12/4, 24, 3, 2
2019/12/5, 23, 7, 2
2019/12/6, 18, , 
2019/12/11, 41, 10, 
2019/12/12, 41, 5, 
2019/12/13, 39, 9, 
2019/12/14, 24, 9, 
2019/12/15, 28, 8, 
2019/12/16, 21, 11, 
2019/12/17, 27, 8, 
2019/12/18, 25, 13, 
2019/12/19, 20, 12, 2
2019/12/20, 22, 7, 1
2019/12/21, 18, 2, 
2019/12/22, 22, 9, 1
2019/12/23, 36, 12, 1
2019/12/24, 28, 4, 5
2019/12/25, 15, 7, 1
2019/12/26, 19, , 
2019/12/27, 12, , 
2019/7/2, 19, 9, 3
2019/7/3, 24, 10, 4
2019/7/4, 21, 9, 2
2019/7/9, 31, 12, 5
2019/7/10, 22, , 8
2019/7/11, 39, , 8
2019/7/17, 19, 12, 4
2019/7/18, 25, 14, 5
2019/7/20, 37, 15, 5
2019/7/21, 34, , 4
2019/7/22, 30, , 3
2019/7/23, 16, , 4
2019/7/24, 21, 12, 4
2019/7/25, 20, , 
2019/7/27, 11, 13, 11
2019/7/28, 25, 8, 11
2019/7/29, 17, 10, 13
2019/7/30, 25, 11, 9
2019/7/31, 31, , 
2019/8/3, 23, 12, 7
2019/8/4, 14, 11, 6
2019/8/5, 10, 11, 5
2019/8/6, 12, , 
2019/9/17, 22, , 5
2019/9/18, 35, , 5
2019/9/19, 41, 15, 3
2019/9/22, 48, 8, 1
2019/9/23, 25, 13, 2
2019/9/24, 21, 19, 4
2019/9/25, 37, , 
2019/9/26, 45, 9, 6
2019/9/27, 32, 6, 6
2019/9/28, 24, 6, 7
2019/9/29, 25, 7, 8
2019/9/30, 27, 6, 8
2019/10/1, 36, 9, 3
2019/4/27, 16, 7, 4
2019/4/28, 11, 10, 4
2019/4/29, 19, 7, 3
2019/4/30, 28, , 
2019/5/11, 13, 11, 5
2019/5/12, 26, , 
2019/5/17, 39, 7, 2
2019/5/18, 30, 6, 2
2019/5/19, 31, 6, 2
2019/5/20, 18, , 
2019/5/30, 23, 10, 4
2019/5/31, 20, 11, 4
2019/6/1, 24, 11, 7
2019/6/2, 32, 10, 4
2019/6/3, 30, 12, 5
2019/6/4, 30, 11, 3
2019/6/5, 29, 8, 4
2019/6/6, 29, 8, 6
2019/6/7, 35, 12, 4
2019/6/8, 24, 10, 5
2019/6/9, 25, 8, 4
2019/6/10, 19, 9, 4
2019/6/11, 28, 8, 4
2019/6/12, 25, 8, 6
2019/6/13, 38, 8, 4
2019/6/14, 24, , 
2019/6/16, 10, 8, 4
2019/6/18, 13, 9, 5
2019/6/19, 14, 11, 5
2019/6/20, 17, 10, 6
2019/6/21, 19, 9, 8
2019/6/22, 25, 9, 6
2019/6/23, 23, 10, 7
2019/6/24, 38, 6, 3
2019/6/25, 30, 12, 3
2019/6/26, 14, 11, 4
2019/6/27, 26, 9, 4
2019/6/28, 23, 9, 5
2019/6/29, 24, 6, 4
2019/6/30, 18, 10, 3
2019/7/1, 10, 10, 5
2019/1/9, 28, , 
2019/1/16, 15, , 
2019/1/31, 32, , 
2019/2/8, 25, 12, 5
2019/2/9, 39, , 
2019/2/15, 25, 12, 5
2019/2/16, 33, 6, 3
2019/2/17, 22, , 
2019/3/29, 28, , 
2018/10/16, 22, 11, 2
2018/10/17, 27, 10, 2
2018/10/18, 36, 6, 1
2018/10/19, 22, , 
2018/10/23, 24, 8, 2
2018/10/24, 20, 10, 3
2018/10/25, 19, 9, 3
2018/10/26, 22, 9, 3
2018/10/27, 19, 6, 2
2018/10/28, 15, 8, 3
2018/10/29, 15, 9, 3
2018/10/30, 24, 9, 7
2018/10/31, 20, , 
2018/11/18, 20, , 
2018/11/27, 23, 8, 3
2018/11/28, 21, 8, 4
2018/11/29, 18, 9, 4
2018/11/30, 20, , 
2018/12/3, 22, 10, 4
2018/12/4, 37, 7, 3
2018/12/5, 33, 6, 3
2018/12/6, 27, 9, 3
2018/12/7, 27, 11, 3
2018/12/8, 32, 9, 3
2018/12/9, 31, 12, 3
2018/12/10, 25, 13, 3
2018/12/11, 25, 11, 4
2018/12/12, 22, 8, 2
2018/12/13, 20, , 
2018/12/18, 20, , 
2018/12/30, 18, 4, 2
2018/12/31, 13, , 
2018/7/2, 22, 7, 2
2018/7/3, 13, 12, 3
2018/7/4, 20, 11, 3
2018/7/6, 15, 8, 3
2018/7/7, 9, 8, 2
2018/7/8, 10, 8, 2
2018/7/9, 14, 12, 3
2018/7/10, 14, 9, 3
2018/7/11, 27, 10, 4
2018/7/12, 33, 13, 6
2018/7/13, 37, 12, 7
2018/7/14, 45, 11, 14
2018/7/16, 23, 8, 2
2018/7/17, 18, 9, 3
2018/7/18, 19, 8, 5
2018/7/19, 20, 6, 3
2018/7/20, 15, 7, 3
2018/7/21, 10, 9, 4
2018/7/22, 18, 10, 4
2018/7/23, 24, 16, 4
2018/7/24, 26, 13, 3
2018/7/25, 31, 10, 3
2018/7/26, 16, 9, 3
2018/7/27, 11, 9, 3
2018/7/28, 14, 7, 5
2018/7/29, 13, 9, 4
2018/7/30, 11, 8, 3
2018/7/31, 23, 9, 3
2018/8/1, 28, 11, 4
2018/8/2, 35, 8, 4
2018/8/3, 30, 8, 4
2018/8/4, 25, 12, 8
2018/8/5, 31, 12, 4
2018/8/6, 37, 12, 4
2018/8/7, 34, 7, 4
2018/8/8, 33, 4, 3
2018/8/9, 23, 6, 2
2018/8/10, 12, 7, 5
2018/8/11, 19, 6, 6
2018/8/12, 19, 6, 6
2018/8/13, 15, 7, 6
2018/8/14, 20, 7, 5
2018/8/15, 21, 10, 5
2018/8/16, 26, 7, 6
2018/8/17, 33, 12, 8
2018/8/18, 39, 5, 5
2018/8/19, 35, 6, 4
2018/8/20, 12, 10, 6
2018/8/21, 22, 13, 7
2018/8/22, 38, 7, 3
2018/8/23, 36, 8, 3
2018/8/24, 22, 8, 3
2018/8/25, 17, 11, 5
2018/8/26, 21, 11, 4
2018/8/27, 31, 11, 4
2018/8/28, 40, 17, 6
2018/8/29, 42, 12, 5
2018/8/30, 45, 8, 2
2018/8/31, 27, , 
2018/9/9, 20, 7, 3
2018/9/10, 19, 8, 3
2018/9/11, 17, 8, 3
2018/9/12, 17, 10, 4
2018/9/13, 20, 10, 3
2018/9/14, 24, 10, 4
2018/9/15, 19, 8, 3
2018/9/16, 16, 10, 4
2018/9/17, 12, 10, 4
2018/9/18, 23, 9, 3
2018/9/19, 22, 14, 4
2018/9/20, 24, 11, 4
2018/9/21, 39, 13, 6
2018/9/22, 41, 8, 4
2018/9/23, 38, 9, 3
2018/9/24, 16, 7, 3
2018/9/25, 19, 6, 3
2018/9/26, 16, 7, 3
2018/9/27, 23, 8, 3
2018/9/28, 21, , 
2018/4/2, 18, 6, 6
2018/4/3, 23, 7, 6
2018/4/4, 24, 8, 7
2018/4/5, 33, 10, 7
2018/4/6, 47, 6, 6
2018/4/7, 22, 7, 7
2018/4/8, 19, 7, 7
2018/4/9, 18, 8, 7
2018/4/10, 30, 10, 9
2018/4/11, 48, 6, 8
2018/4/12, 40, 8, 4
2018/4/13, 19, 2, 2
2018/4/14, 22, 1, 3
2018/4/15, 23, 2, 3
2018/4/16, 20, 2, 4
2018/4/17, 28, 3, 5
