date, pm25, pm10, o3, no2, so2
2020/6/2, , 26, , , 1
2020/6/3, , 47, , , 1
2020/6/4, , 30, , , 1
2020/6/5, , 39, , , 1
2020/6/6, , 44, , , 1
2020/6/7, , 58, , 1, 1
2020/6/8, , 56, , 1, 1
2020/6/9, , 51, , 1, 1
2020/6/10, , 49, , 1, 1
2020/6/11, , 37, , , 1
2020/6/12, , 38, , , 1
2020/6/13, , 25, , 1, 1
2020/6/14, , 39, , 1, 1
2020/6/15, , 31, , , 1
2020/6/16, , 28, , , 1
2020/6/17, , 31, , , 1
2020/6/18, , 43, , , 1
2020/6/19, , 58, , , 1
2020/6/20, , 35, , , 1
2020/6/21, , 30, , , 
2020/6/23, , 54, , 1, 1
2020/6/24, , 38, , 1, 1
2020/6/25, , 37, , , 1
2020/6/26, , 26, , 1, 1
2020/6/27, , 35, , , 1
2020/6/28, , 31, , 3, 1
2020/6/29, , 41, , , 1
2020/6/30, , 36, , , 1
2020/7/1, , 31, , 1, 1
2020/1/2, , 18, , 4, 2
2020/1/3, , 22, , 1, 1
2020/1/4, , 15, , , 1
2020/1/5, , 20, , , 1
2020/1/6, , 8, , 3, 1
2020/1/7, , 16, , 1, 1
2020/1/8, , 22, , , 1
2020/1/9, , 32, , , 1
2020/1/10, , 3, , 1, 1
2020/1/11, , 7, , 1, 1
2020/1/12, , 12, , 2, 1
2020/1/13, , 12, , 1, 1
2020/1/14, , 12, , 3, 1
2020/1/15, , 16, , 3, 1
2020/1/16, , 13, , 5, 3
2020/1/17, , 73, , 2, 1
2020/1/18, , 58, , , 1
2020/1/19, , 15, , , 1
2020/1/20, , 6, , , 1
2020/1/21, , 6, , , 1
2020/1/22, , 5, , 1, 1
2020/1/23, , 10, , 1, 1
2020/1/24, , 7, , , 1
2020/1/25, , 9, , 2, 1
2020/1/26, , 17, , 4, 3
2020/1/27, , 19, , 7, 5
2020/1/28, , 34, , 3, 3
2020/1/29, , 20, , 1, 1
2020/1/30, , 12, , 1, 1
2020/1/31, , 11, , , 1
2020/2/1, , 11, , , 1
2020/2/2, , 8, , 2, 1
2020/2/3, , 14, , 4, 1
2020/2/4, , 18, , 2, 1
2020/2/5, , 12, , 3, 1
2020/2/6, , 26, , 4, 3
2020/2/7, , 22, , 1, 1
2020/2/8, , 33, , , 1
2020/2/9, , 19, , , 1
2020/2/10, , 16, , 1, 1
2020/2/11, , 12, , 1, 1
2020/2/12, , 7, , 2, 1
2020/2/13, , 13, , 4, 1
2020/2/14, , 26, , 3, 1
2020/2/15, , 28, , 4, 2
2020/2/16, , 51, , 3, 3
2020/2/17, , 62, , 5, 2
2020/2/18, , 44, , 3, 2
2020/2/19, , 33, , 1, 1
2020/2/20, , 15, , 1, 1
2020/2/21, , 12, , 1, 1
2020/2/22, , 12, , 1, 1
2020/2/23, , 10, , 5, 2
2020/2/24, , 25, , 2, 1
2020/2/25, , 18, , 1, 1
2020/2/26, , 12, , 1, 1
2020/2/27, , 12, , 4, 2
2020/2/28, , 25, , 4, 3
2020/2/29, , 22, , 1, 2
2020/3/1, , 13, , , 1
2020/3/2, , 10, , 1, 1
2020/3/3, , 13, , 7, 2
2020/3/4, , 38, , 4, 2
2020/3/5, , 26, , 4, 3
2020/3/6, , 28, , 3, 2
2020/3/7, , 21, , , 1
2020/3/8, , 18, , 5, 1
2020/3/9, , 40, , 3, 2
2020/3/10, , 65, , 5, 1
2020/3/11, , 66, , 6, 2
2020/3/12, , 58, , 2, 1
2020/3/13, , 167, , , 1
2020/3/14, , 56, , , 1
2020/3/15, , 32, , 1, 1
2020/3/16, , 48, , 1, 1
2020/3/18, , 206, , , 1
2020/3/19, , 58, , , 1
2020/3/20, , 12, , , 1
2020/3/21, , 4, , , 1
2020/3/22, , 13, , , 1
2020/3/23, , 15, , 1, 2
2020/3/24, , 14, , , 1
2020/3/25, , 27, , , 1
2020/3/26, , 19, , 1, 1
2020/3/27, , 21, , , 1
2020/3/28, , 32, , , 1
2020/3/29, , 20, , , 1
2020/3/30, , 14, , , 1
2020/3/31, , 15, , , 1
