date, pm25, pm10, o3, no2, so2
2020/5/2, 15, 6, 31, 3, 
2020/5/3, 17, 13, 32, 7, 
2020/5/4, 43, 19, 31, 5, 
2020/5/5, 58, 10, 34, 3, 
2020/5/6, 23, 13, 39, 5, 
2020/5/7, 33, 22, 41, 6, 
2020/5/8, 58, 14, 34, 4, 
2020/5/9, 42, 17, 39, 5, 
2020/5/10, 53, 11, 30, 2, 
2020/5/11, 28, 10, 27, 2, 
2020/5/12, 21, 9, 31, 5, 
2020/5/13, 22, 8, 29, 3, 
2020/5/14, 18, 9, 33, 4, 
2020/5/15, 21, 9, 32, 4, 
2020/5/16, 21, 6, 33, 2, 
2020/5/17, 16, 8, 29, 2, 
2020/5/18, 22, 9, 31, 1, 
2020/5/19, 22, 6, 30, 2, 
2020/5/20, 16, 12, 35, 5, 
2020/5/21, 33, 13, 40, 3, 
2020/5/22, 35, 17, 29, 1, 
2020/5/23, 35, 11, 27, 1, 
2020/5/24, 24, 11, 28, 1, 
2020/5/25, 29, 7, 34, 2, 
2020/5/26, 18, 10, 28, 3, 
2020/5/27, 23, 14, 38, 5, 
2020/5/28, 30, 10, 37, 3, 
2020/5/29, 23, 9, 36, 3, 
2020/5/30, 16, 14, 46, 2, 
2020/5/31, 31, 13, 43, 2, 
2020/6/1, 29, 13, 40, 3, 
2020/6/2, 23, 14, 44, 3, 
2020/6/3, 25, 10, 30, 5, 
2020/6/4, 29, 7, 22, 4, 
2020/6/5, 18, 6, 27, 1, 
2020/6/6, 10, 6, 23, 2, 
2020/6/7, 14, 7, 20, 2, 
2020/6/8, 23, 15, 22, 4, 
2020/6/9, 42, 12, 31, 3, 
2020/6/10, 32, 13, 24, 5, 
2020/6/11, 43, 11, 26, 2, 
2020/6/12, 33, 16, 20, 3, 
2020/6/13, 50, 14, 30, 3, 
2020/6/14, 35, 11, 31, 3, 
2020/6/15, 33, 8, 32, 3, 
2020/6/16, 24, 14, 27, 4, 
2020/6/17, 40, 13, 26, 5, 
2020/6/18, 39, 8, 20, 5, 
2020/6/19, 25, 6, 20, 2, 
2020/6/20, 14, 7, 20, 2, 
2020/6/21, 21, 10, 19, 1, 
2020/6/22, 24, 12, 27, 1, 
2020/6/23, 29, 13, 33, 2, 
2020/6/24, 34, 17, 61, 4, 
2020/6/25, 45, 18, 60, 4, 
2020/6/26, 43, 15, 44, 3, 
2020/6/27, 39, 5, 18, 1, 
2020/6/28, 13, 8, 22, , 
2020/6/29, 15, 10, 20, , 
2020/6/30, 21, 8, 20, 1, 
2020/7/1, 21, 4, 14, 1, 
2020/1/2, 74, 9, 25, 3, 
2020/1/3, 29, 12, 27, 7, 
2020/1/4, 28, 5, 29, 4, 
2020/1/5, 12, 5, 26, 3, 
2020/1/6, 17, 9, 30, 4, 
2020/1/7, 25, 10, 24, 3, 
