date, pm25, o3, no2, co
2020/11/26, 112, , , 
2020/11/27, 132, , , 
2020/11/28, 82, , , 
2020/11/29, 70, , , 
2020/11/30, 50, , , 
2020/12/1, 84, , , 
2020/12/2, 105, , , 
2020/12/3, 119, , , 
2020/12/4, 118, , , 
2020/12/5, 79, , , 
2020/12/6, 99, , , 
2020/12/7, 51, , , 
2020/12/8, 67, , , 
2020/12/9, 69, , , 
2020/12/10, 101, , , 
2020/12/11, 145, , , 
2020/12/12, 99, , , 
2020/12/13, 108, , , 
2020/12/14, 125, , , 
2020/12/15, 152, , , 
2020/12/16, 158, , , 
2020/12/17, 135, , , 
2020/12/18, 101, , , 
2020/12/19, 64, , , 
2020/12/20, 69, , , 
2020/12/21, 89, , , 
2020/12/22, 116, , , 
2020/12/23, 144, , , 
2020/12/24, 177, , , 
2020/12/25, 55, , , 
2020/12/26, 42, , , 
2020/12/27, 47, , , 
2020/12/28, 127, , , 
2020/12/29, 168, , , 
2020/12/30, 179, , , 
2020/12/31, 162, , , 
2021/1/1, 120, , , 
2021/1/2, 121, , , 
2021/1/3, 139, , , 
2021/1/4, 160, , , 
2020/7/2, 95, , , 
2020/7/3, 208, , , 
2020/7/4, 139, , , 
2020/7/5, 120, , , 
2020/7/6, 109, , , 
2020/7/7, 94, , , 
2020/7/8, 92, , , 
2020/7/9, 105, , , 
2020/7/10, 82, , , 
2020/7/11, 71, , , 
2020/7/12, 91, , , 
2020/7/13, 85, , , 
2020/7/14, 121, , , 
2020/7/15, 78, , , 
2020/7/16, 132, , , 
2020/7/17, 115, , , 
2020/7/18, 81, , , 
2020/7/19, 78, , , 
2020/7/20, 74, , , 
2020/7/21, 70, , , 
2020/7/22, 83, , , 
2020/7/23, 91, , , 
2020/7/24, 79, , , 
2020/7/25, 75, , , 
2020/7/26, 85, , , 
2020/7/27, 102, , , 
2020/7/28, 86, , , 
2020/7/29, 89, , , 
2020/7/30, 104, , , 
2020/7/31, 97, , , 
2020/8/1, 94, , , 
2020/8/2, 84, , , 
2020/8/3, 86, , , 
2020/8/4, 102, , , 
2020/8/5, 103, , , 
2020/8/6, 148, , , 
2020/8/7, 78, , , 
2020/8/8, 97, , , 
2020/8/9, 78, , , 
2020/8/10, 79, , , 
2020/8/11, 82, , , 
2020/8/12, 92, , , 
2020/8/13, 99, , , 
2020/8/14, 99, , , 
2020/8/15, 125, , , 
2020/8/16, 102, , , 
2020/8/17, 103, , , 
2020/8/18, 87, , , 
2020/8/19, 102, , , 
2020/8/20, 82, , , 
2020/8/21, 85, , , 
2020/8/22, 85, , , 
2020/8/23, 78, , , 
2020/8/24, 77, , , 
2020/8/25, 79, , , 
2020/8/26, 90, , , 
2020/8/27, 66, , , 
2020/8/28, 68, , , 
2020/8/29, 61, , , 
2020/8/30, 77, , , 
2020/8/31, 54, , , 
2020/9/1, 75, , , 
2020/9/2, 76, , , 
2020/9/3, 88, , , 
2020/9/4, 73, , , 
2020/9/5, 60, , , 
2020/9/6, 70, , , 
2020/9/7, 77, , , 
2020/9/8, 87, , , 
2020/9/9, 167, , , 
2020/9/10, 95, , , 
2020/9/11, 101, , , 
2020/9/12, 109, , , 
2020/9/13, 88, , , 
2020/9/14, 85, , , 
2020/9/15, 73, , , 
2020/9/16, 87, , , 
2020/9/17, 76, , , 
2020/9/18, 76, , , 
2020/9/19, 74, , , 
2020/9/20, 91, , , 
2020/9/21, 98, , , 
2020/9/22, 101, , , 
2020/9/23, 99, , , 
2020/9/24, 93, , , 
2020/9/25, 77, , , 
2020/9/26, 81, , , 
2020/9/27, 104, , , 
2020/9/28, 73, , , 
2020/9/29, 84, , , 
2020/9/30, 91, , , 
2020/10/1, 62, , , 
2020/4/20, 100, , , 
2020/4/21, 70, , , 
2020/4/22, 91, , , 
2020/4/23, 66, , , 
2020/4/24, 65, , , 
2020/4/25, 53, , , 
2020/4/26, 49, , , 
2020/4/27, 74, , , 
2020/4/28, 45, , , 
