date, pm25, o3, no2, so2, co
2019/4/22, 30, 18, 3, , 
2019/4/23, 34, 19, 1, , 
2019/4/24, 42, 20, 2, 1, 
2019/4/25, 44, 17, 2, , 
2019/4/26, 23, 18, 10, , 
2019/4/27, 42, 14, 3, , 
2019/4/28, 27, 15, 4, , 
2019/4/29, 26, 16, 9, , 11
2019/4/30, 42, 16, 3, , 
2019/5/1, 36, 15, 4, , 
2019/5/2, 27, 13, 6, , 
2019/5/3, 39, 16, 4, , 
2019/5/4, 33, 14, 2, , 
2019/5/5, 23, 15, 3, , 
2019/5/6, 22, 15, 6, , 
2019/5/7, 34, 17, 4, , 
2019/5/8, 44, 17, 4, , 
2019/5/9, 28, 17, 7, , 
2019/5/10, 31, 15, 3, , 
2019/5/11, 21, 16, 2, , 
2019/5/12, 14, 19, 3, , 
2019/5/13, 18, 19, 4, , 
2019/5/14, 35, 16, 4, , 
2019/5/15, 32, 14, 4, , 11
2019/5/16, 35, 16, 5, , 
2019/5/17, 21, 16, 4, , 
2019/5/18, 26, 15, 2, , 
2019/5/19, 16, 15, 3, , 
2019/5/20, 22, 16, 3, , 
2019/5/21, 32, 20, 4, , 
2019/5/22, 43, 17, 6, , 
2019/5/23, 51, 17, 5, , 
2019/5/24, 42, 20, 5, , 
2019/5/25, 44, 11, 2, , 
2019/5/26, 34, 18, 4, , 
2019/5/27, 45, 21, 5, , 
2019/5/28, 42, 21, 9, , 
2019/5/29, 73, 24, 5, , 
2019/5/30, 64, 20, 4, 1, 
2019/5/31, 68, 15, 3, , 
2019/6/1, 55, 17, 6, , 
2019/6/2, 48, 21, 3, , 
2019/6/3, 53, 19, 4, , 
2019/6/4, 46, 18, 3, , 
2019/6/5, 52, 17, 3, , 
2019/6/6, 21, 15, 4, , 
2019/6/7, 23, 14, 4, , 
2019/6/8, 33, 11, 2, , 
2019/6/9, 17, 14, 3, , 
2019/6/10, 40, 16, 3, , 
2019/6/11, 33, 15, 5, , 
2019/6/12, 38, 16, 7, , 
2019/6/13, 43, 17, 5, , 
2019/6/14, 25, 16, 6, , 
2019/6/15, 43, 11, 3, , 
2019/6/16, 34, 15, 4, , 
2019/6/17, 16, 16, 5, , 
2019/6/18, 25, 20, 5, , 
2019/6/19, 29, 20, 4, , 
2019/6/20, 29, 17, 5, , 
2019/6/21, 15, 18, 4, , 
2019/6/22, 23, 14, 1, , 
2019/6/23, 20, 83, 1, , 
2019/6/24, 33, 10, , , 
2019/6/25, 30, 10, , , 
2019/6/26, 22, 11, 10, , 
2019/6/27, 25, 16, 8, , 
2019/6/28, 34, 17, 4, , 
2019/6/29, 21, 12, 3, , 
2019/6/30, 17, , , , 
2019/1/2, 20, 9, 16, , 
2019/1/3, 20, 7, 14, , 
2019/1/4, 28, 222, 166, 214, 11
2019/1/5, 40, 11, 5, , 
2019/1/6, 25, 11, 6, , 
2019/1/7, 39, 11, 5, , 
2019/1/8, 31, 12, 6, , 
2019/1/9, 14, 9, 12, , 
2019/1/10, 19, 11, 8, , 
2019/1/11, 25, 11, 9, , 
2019/1/12, 32, 8, 9, , 
2019/1/13, 44, 5, 18, , 
2019/1/14, 70, 6, 14, , 
2019/1/15, 76, 11, 8, , 
2019/1/16, 27, 11, 9, , 
2019/1/17, 26, 12, 16, , 
2019/1/18, 30, 11, 11, , 
2019/1/19, 29, 13, 8, , 
2019/1/20, 26, 12, 8, , 
2019/1/21, 36, 9, 14, , 
2019/1/22, 50, 8, 17, , 
2019/1/23, 56, 12, 11, , 
2019/1/24, 37, 10, 12, , 
2019/1/25, 27, 9, 13, , 
2019/1/26, 44, 10, 9, , 
2019/1/27, 38, 13, 6, , 
2019/1/28, 17, 14, 7, , 
2019/1/29, 10, 12, 13, , 
2019/1/30, 21, 12, 9, , 
2019/1/31, 18, 10, 14, , 
2019/2/1, 35, 13, 4, , 
2019/2/2, 25, 13, 4, , 
2019/2/3, 12, 14, 6, , 
2019/2/4, 13, 13, 6, , 
2019/2/5, 15, 10, 30, 1, 11
2019/2/6, 31, 7, 31, , 11
2019/2/7, 38, 8, 25, , 11
2019/2/8, 45, 10, 23, , 
2019/2/9, 46, 10, 27, , 11
2019/2/10, 52, 13, 18, , 11
2019/2/11, 45, 13, 12, , 
2019/2/12, 30, 9, 22, , 
2019/2/13, 60, 8, 19, , 
2019/2/14, 62, 7, 27, , 
2019/2/15, 66, 11, 22, , 11
2019/2/16, 51, 14, 8, , 
2019/2/17, 19, 13, 4, , 
2019/2/18, 17, 12, 19, , 
2019/2/19, 25, 14, 12, , 
2019/2/20, 40, 15, 20, , 
2019/2/21, 51, 12, 14, , 
2019/2/22, 33, 13, 15, , 
2019/2/23, 46, 13, 11, , 
2019/2/24, 31, 12, 8, , 
2019/2/25, 15, 11, 19, , 
2019/2/26, 38, 13, 14, , 
2019/2/27, 32, 15, 12, , 
2019/2/28, 38, 14, 15, , 
2019/3/1, 22, 10, 7, , 
2019/3/2, 26, 13, 7, , 
2019/3/3, 19, 14, 5, , 
2019/3/4, 17, 15, 6, , 
2019/3/5, 19, 15, 8, , 
2019/3/6, 17, 12, 19, , 
2019/3/7, 24, 14, 12, , 
2019/3/8, 34, 17, 12, , 
2019/3/9, 54, 18, 10, , 
2019/3/10, 33, 17, 17, , 
2019/3/11, 34, 18, 11, , 
2019/3/12, 41, 18, 9, , 
2019/3/13, 33, 17, 8, , 
2019/3/14, 27, 17, 10, , 
2019/3/15, 34, 17, 15, , 
2019/3/16, 58, 19, 10, , 
2019/3/17, 33, 20, 10, , 
2019/3/18, 49, 18, 9, , 
2019/3/19, 44, 22, 10, , 
2019/3/20, 50, 19, 16, , 
2019/3/21, 68, 13, 5, , 
2019/3/22, 48, 15, 7, , 
2019/3/23, 55, 15, 8, , 
2019/3/24, 58, 14, 3, , 
2019/3/25, 31, 14, 6, , 
2019/3/26, 56, 9, 4, , 
2019/3/27, 47, 14, 3, , 
2019/3/28, 29, 15, 6, , 
2019/3/29, 34, 14, 7, , 
2019/3/30, 56, 15, 8, , 
2019/3/31, 45, 15, 3, , 
2019/4/1, 31, 17, 5, , 
2018/10/2, 26, 9, 8, , 
2018/10/3, 28, 12, 5, , 
2018/10/4, 23, 10, 9, , 
2018/10/5, 25, 13, 9, , 
2018/10/6, 30, 12, 5, , 
2018/10/7, 35, 9, 4, , 
2018/10/8, 35, 8, 1, , 
2018/10/9, 8, 10, 6, , 11
2018/10/10, 23, 11, 16, 1, 11
