date, pm25, pm10, o3, so2
2017/3/2, 19, , 33, 
2017/3/3, 23, , 35, 1
2017/3/4, 26, , 27, 
2017/3/5, 44, , 27, 
2017/3/6, 48, , 27, 
2017/3/7, 30, , 34, 
2017/3/8, 19, , 34, 
2017/3/9, 11, , 32, 1
2017/3/10, 15, , 32, 
2017/3/11, 21, , 32, 
2017/3/12, 18, , 32, 
2017/3/13, 22, , 32, 
2017/3/14, 21, , 34, 
2017/3/15, 21, , 36, 
2017/3/16, 28, , 38, 
2017/3/17, 47, , 28, 
2017/3/18, 49, , 25, 
2017/3/19, 18, , 30, 
2017/3/20, 29, , 31, 
2017/3/21, 41, , 36, 
2017/3/22, 27, , 35, 
2017/3/23, 18, , 28, 
2017/3/24, 33, , 22, 1
2017/3/25, 48, , 23, 
2017/3/26, 23, , 15, 
2017/3/27, 21, , 13, 
2017/3/28, 22, , 34, 
2017/3/29, 32, , 27, 
2017/3/30, 30, , 27, 
2017/3/31, 17, , 34, 
2017/4/1, 18, , 40, 1
2016/10/2, 12, , 16, 
2016/10/3, 24, , 28, 
2016/10/4, 28, , 32, 
2016/10/5, 36, , 30, 
2016/10/6, 38, , 22, 
2016/10/7, 29, , 28, 
2016/10/8, 12, , 20, 
2016/10/9, 18, , , 
2016/10/12, 39, , 26, 
2016/10/13, 32, , 21, 
2016/10/14, 19, , 28, 
2016/10/15, 23, , 18, 
2016/10/16, 42, , 17, 
2016/10/17, 34, , 17, 
2016/10/18, 35, , , 
2016/10/19, 20, , , 
2016/10/20, 25, , , 
2016/10/21, 26, , , 
2016/10/22, 19, , , 
2016/10/23, 36, , , 
2016/10/24, 46, , , 
2016/10/25, 22, , , 
2016/10/26, 37, , , 
2016/10/27, 18, , , 
2016/10/28, 21, , , 
2016/10/29, 44, , , 
2016/10/30, 40, , , 
2016/10/31, 24, , , 
2016/11/1, 26, , , 
2016/11/2, 44, , , 
2016/11/3, 36, , , 
2016/11/4, 30, , , 
2016/11/5, 31, , , 
2016/11/6, 48, , , 
2016/11/7, 56, , , 1
2016/11/8, 47, , , 
2016/11/9, 33, , , 
2016/11/10, 17, , , 
2016/11/11, 22, , , 
2016/11/12, 20, , , 
2016/11/13, 29, , , 
2016/11/14, 26, , , 
2016/11/15, 33, , , 
2016/11/16, 37, , , 
2016/11/19, 5, , , 
2016/11/20, 13, , , 
2016/11/21, 21, , , 
2016/11/22, 34, , , 
2016/11/23, 40, , , 
2016/11/24, 33, , , 
2016/11/25, 25, , , 
2016/11/26, 28, , , 
2016/11/27, 19, , , 
2016/11/28, 57, , , 
2016/11/29, 24, , , 
2016/11/30, 28, , , 
2016/12/1, 15, , , 
2016/12/2, 17, , , 
2016/12/3, 19, , , 
2016/12/4, 26, , , 
2016/12/5, 42, , , 
2016/12/6, 45, , , 
2016/12/7, 41, , , 
2016/12/8, 26, , , 
2016/12/9, 23, , , 
2016/12/10, 19, , , 
2016/12/11, 35, , , 
2016/12/12, 57, , , 
2016/12/13, 58, , , 
2016/12/14, 45, , , 
2016/12/15, 28, , , 
2016/12/16, 27, , , 
2016/12/17, 44, , , 
2016/12/18, 40, , , 
2016/12/19, 27, , , 
2016/12/20, 40, , , 
2016/12/21, 31, , , 
2016/12/22, 47, , , 
2016/12/23, 34, , , 
2016/12/24, 43, , , 
2016/12/25, 45, , , 
2016/12/26, 45, , , 
2016/12/27, 16, , , 
2016/12/28, 22, , , 
2016/12/29, 34, , , 
2016/12/30, 19, , , 
2016/12/31, 20, , , 
2017/1/1, 33, , , 
2017/1/2, 45, , , 
2016/7/2, 22, , 34, 
2016/7/3, 21, , 40, 
2016/7/4, 41, , 35, 
2016/7/5, 53, , 32, 
2016/7/6, 22, , 33, 
2016/7/7, 19, , 37, 1
2016/7/8, 29, , 32, 1
2016/7/9, 16, , 28, 
2016/7/10, 24, , 33, 
2016/7/11, 31, , 35, 
2016/7/12, 40, , 36, 
2016/7/13, 23, , 30, 
2016/7/14, 37, , 25, 
2016/7/15, 20, , 20, 
2016/7/16, 22, , 29, 
2016/7/17, 29, , 33, 
2016/7/18, 21, , 30, 
2016/7/19, 22, , 37, 
2016/7/20, 37, , 32, 
2016/7/21, 23, , 35, 
2016/7/22, 33, , 33, 
2016/7/23, 21, , 26, 
2016/7/24, 27, , 28, 
2016/7/25, 34, , 24, 
2016/7/26, 23, , 34, 
2016/7/27, 28, , 34, 
2016/7/28, 32, , 23, 
2016/7/29, 41, , 20, 
2016/7/30, 27, , 23, 
2016/7/31, 23, , 32, 
2016/8/1, 33, , 38, 
2016/8/2, 35, , 35, 
2016/8/3, 38, , 35, 
2016/8/4, 51, , 36, 
2016/8/5, 43, , 30, 
2016/8/6, 20, , 24, 
2016/8/7, 18, , 22, 
2016/8/8, 20, , 34, 
2016/8/9, 24, , 35, 
2016/8/10, 31, , 36, 
2016/8/11, 56, , 27, 
2016/8/12, 42, , 29, 
2016/8/13, 19, , 26, 
2016/8/14, 13, , 27, 
2016/8/15, 22, , 35, 
2016/8/16, 32, , 36, 
2016/8/17, 42, , 34, 
2016/8/18, 18, , 37, 
2016/8/19, 25, , 32, 
2016/8/20, 19, , 24, 
2016/8/21, 16, , 19, 
2016/8/22, 12, , 25, 
2016/8/23, 20, , 34, 
2016/8/24, 25, , 32, 
2016/8/25, 29, , 28, 
2016/8/26, 24, , 28, 
2016/8/27, 22, , 20, 
2016/8/28, 25, , 24, 
2016/8/29, 26, , 32, 
2016/8/30, 29, , 28, 
2016/8/31, 36, , 23, 
2016/9/1, 25, , 23, 
2016/9/2, 16, , 29, 
2016/9/3, 14, , 34, 
2016/9/4, 25, , 33, 
2016/9/5, 29, , 33, 
2016/9/6, 41, , 25, 
2016/9/7, 36, , 22, 
2016/9/8, 15, , 26, 
2016/9/9, 16, , 21, 
2016/9/10, 28, , 22, 
2016/9/11, 20, , 24, 
2016/9/12, 17, , 30, 
2016/9/13, 22, , 24, 
2016/9/14, 32, , 20, 
2016/9/15, 28, , 36, 
2016/9/16, 25, , 24, 
2016/9/17, 33, , 24, 
