date, pm25, pm10, no2, co
2021/2/3, 73, 32, 23, 15
2021/2/4, 81, 34, 26, 12
2021/2/5, 76, 41, 34, 19
2021/2/6, 92, 53, 35, 23
2021/2/7, 100, 46, 22, 9
2021/2/8, 69, 66, 15, 6
2021/2/9, 78, 33, 13, 5
2021/2/10, 40, 25, 10, 4
2021/2/11, 32, 32, 23, 8
2021/2/12, 55, 25, 23, 5
2021/2/13, 60, 7, 8, 1
2021/2/14, 26, 10, 5, 
2021/2/15, 34, 14, 14, 4
2021/2/16, 37, 36, 31, 8
2021/2/17, 76, 52, 34, 14
2021/2/18, 107, 28, 21, 5
2021/2/19, 75, 33, 34, 14
2021/2/20, 78, 31, 32, 9
2021/2/21, 81, 37, 29, 10
2021/2/22, 91, 45, 32, 13
2021/2/23, 100, 42, 36, 11
2021/2/24, 99, 58, 34, 15
2021/2/25, 128, 63, 35, 12
2021/2/26, 135, 61, 30, 11
2021/2/27, 135, 68, 26, 8
2021/2/28, 148, 33, 11, 4
2021/3/1, 74, 28, 22, 5
2021/3/2, 64, 34, 25, 7
2021/3/3, 79, 40, 31, 10
2021/3/4, 90, 39, 34, 11
2021/3/5, 98, 40, 29, 9
2021/3/6, 85, 28, 18, 6
2021/3/7, 75, 19, 10, 4
2021/3/8, 51, 32, 20, 6
2021/3/9, 82, 25, 22, 5
2021/3/10, 67, 18, 10, 1
2021/3/11, 54, 22, 20, 5
2021/3/12, 61, 19, 10, 3
2021/3/13, 41, 20, 10, 5
2021/3/14, 40, 21, 7, 3
2021/3/15, 37, 14, 10, 3
2021/3/16, 32, 23, 18, 5
2021/3/17, 61, 12, 12, 3
2021/3/18, 39, 13, 11, 3
2021/3/19, 43, 15, 12, 3
2021/3/20, 51, 9, 5, 2
2021/3/21, 33, 16, 2, 1
2021/3/22, 48, 13, 4, 1
2021/3/23, 35, 14, 7, 2
2021/3/24, 36, 18, 17, 6
2021/3/25, 43, 24, 22, 7
2021/3/26, 58, 36, 29, 10
2021/3/27, 78, 22, 22, 7
2021/3/28, 53, 29, 25, 8
2021/3/29, 75, 44, 34, 13
2021/3/30, 93, 27, 20, 6
2021/3/31, 66, 32, 27, 7
2021/4/1, 71, 41, 28, 9
2020/10/2, 57, 28, 28, 9
2020/10/3, 61, 40, 23, 6
2020/10/4, 57, 15, 14, 3
2020/10/5, 30, 22, 22, 6
2020/10/6, 38, 21, 21, 7
2020/10/7, 39, 20, 22, 7
2020/10/8, 34, 15, 14, 3
2020/10/9, 40, 22, 29, 8
2020/10/10, 51, 23, 32, 9
2020/10/11, 55, 15, 24, 6
2020/10/12, 38, 19, 25, 7
2020/10/13, 49, 15, 23, 8
2020/10/14, 34, 23, 27, 9
2020/10/15, 48, 24, 15, 5
2020/10/16, 35, 22, 24, 9
2020/10/17, 40, 18, 27, 8
2020/10/18, 44, 19, 23, 8
2020/10/19, 43, 17, 24, 8
2020/10/20, 45, 21, 28, 8
2020/10/21, 51, 26, 30, 11
2020/10/22, 56, 27, 33, 11
2020/10/23, 63, 27, 30, 9
2020/10/24, 63, 20, 25, 7
2020/10/25, 51, 22, 18, 7
2020/10/26, 46, 19, 20, 8
2020/10/27, 41, 22, 19, 7
2020/10/28, 36, 23, 23, 8
2020/10/29, 50, 28, 24, 10
2020/10/30, 57, 27, 26, 9
2020/10/31, 55, 34, 28, 10
2020/11/1, 76, 19, 17, 5
2020/11/2, 49, 24, 24, 7
2020/11/3, 55, 28, 28, 7
2020/11/4, 64, 31, 27, 9
2020/11/5, 75, 26, 20, 6
2020/11/6, 69, 20, 13, 4
2020/11/7, 51, 22, 21, 7
2020/11/8, 58, 32, 22, 8
2020/11/9, 83, 38, 30, 14
2020/11/10, 89, 46, 32, 13
2020/11/11, 99, 49, 31, 14
2020/11/12, 96, 49, 29, 12
