date, pm25, pm10, o3, so2, co
2021/7/23, 40, 21, 34, 1, 1
2021/7/24, 55, 20, 24, 1, 1
2021/7/25, 49, 47, 29, , 
2021/7/26, 68, 48, 31, 1, 1
2021/7/27, 69, 28, 49, 1, 1
2021/7/28, 51, 19, 45, , 1
2021/7/29, 45, 23, 38, 1, 2
2021/7/30, 54, 26, 33, , 2
2021/7/31, 61, 34, 34, 1, 3
2021/8/1, 71, 21, 34, , 1
2021/8/2, 58, 15, 28, 1, 1
2021/8/3, 47, 25, 38, , 1
2021/8/4, 65, 30, 41, , 2
2021/8/5, 76, 25, 43, , 2
2021/8/6, 65, 32, 36, , 2
2021/8/7, 68, 30, 42, 1, 2
2021/8/8, 68, 25, 27, 1, 1
2021/8/9, 59, 27, 16, , 
2021/8/10, 41, 25, 19, 1, 
2021/8/11, 39, 26, 29, , 
2021/8/12, 40, 16, 33, , 
2021/8/13, 31, 18, 40, 1, 1
2021/8/14, 31, 13, 31, 1, 
2021/8/15, 27, 10, 31, , 
2021/8/16, 25, 14, 28, , 
2021/8/17, 29, 22, 32, 1, 1
2021/8/18, 39, 26, 26, 2, 
2021/8/19, 37, 23, 20, 1, 
2021/8/20, 29, 17, 13, 1, 
2021/8/21, 30, 39, 21, , 
2021/8/22, 55, 35, 31, 1, 
2021/8/23, 58, 26, 29, 1, 
2021/8/24, 49, 23, 37, , 1
2021/8/25, 53, 20, 37, , 1
2021/8/26, 51, 19, 20, 1, 
2021/8/27, 42, 25, 22, , 
2021/8/28, 45, 18, 20, , 
2021/8/29, 40, 11, 16, , 
2021/8/30, 24, 4, 17, , 
2021/8/31, 9, 19, 21, 1, 
2021/9/1, 35, 21, 35, , 
2021/9/2, 40, 19, 33, , 1
2021/9/3, 48, 18, 38, , 1
2021/9/4, 49, 21, 41, , 1
2021/9/5, 52, 27, 31, 1, 1
2021/9/6, 57, 17, 29, , 
2021/9/7, 44, 18, 34, , 1
2021/9/8, 49, 25, 38, , 1
2021/9/9, 55, 23, 41, 1, 
2021/9/10, 36, 18, 34, , 1
2021/9/11, 32, 20, 40, , 1
2021/9/12, 49, 16, 28, , 
2021/9/13, 42, 14, 19, , 
2021/9/14, 28, 15, 19, , 
2021/9/15, 38, 12, 20, , 
2021/9/16, 34, 10, 12, , 
2021/9/17, 24, 13, 17, , 
2021/9/18, 28, 11, 25, , 
2021/9/19, 25, 8, 21, , 
2021/9/20, 19, 12, 22, , 
2021/9/21, 25, 16, 30, 1, 
2021/9/22, 35, 13, 30, , 
2021/9/23, 23, 18, 31, , 
2021/9/24, 33, 20, 35, 1, 2
2021/9/25, 42, 25, 39, 1, 4
2021/9/26, 57, 27, 43, , 2
2021/9/27, 63, 29, 40, 1, 1
2021/9/28, 56, 19, 16, , 
2021/9/29, 38, 9, 19, , 
2021/9/30, 16, 12, 23, , 
2021/10/1, 26, 18, 31, 1, 
2021/4/2, 25, 14, 37, 1, 2
2021/4/3, 33, 22, 41, 1, 3
2021/4/4, 51, 28, 43, 1, 4
2021/4/5, 62, 30, 40, 1, 2
2021/4/6, 63, 20, 28, 1, 1
2021/4/7, 46, 20, 27, 1, 1
2021/4/8, 40, 23, 35, 1, 1
2021/4/9, 35, 23, 29, 1, 1
2021/4/10, 49, 14, 37, 1, 
2021/4/11, 32, 17, 38, 1, 2
2021/4/12, 37, 27, 41, 1, 3
2021/4/13, 51, 20, 31, 1, 1
2021/4/14, 44, 19, 22, 1, 1
2021/4/15, 45, 15, 32, 1, 
2021/4/16, 32, 14, 27, 1, 
2021/4/17, 33, 14, 29, 1, 
2021/4/18, 38, 12, 31, 1, 
2021/4/19, 34, 13, 36, 1, 1
2021/4/20, 32, 24, 39, 2, 2
2021/4/21, 43, 15, 34, 18, 
2021/4/22, 25, 16, 38, , 1
2021/4/23, 37, 25, 27, 1, 1
2021/4/24, 59, 11, 32, 5, 
2021/4/25, 19, 13, 36, , 1
2021/4/26, 39, 17, 36, 10, 1
2021/4/27, 48, 15, 22, , 
2021/4/28, 36, 18, 24, , 
2021/4/29, 40, 22, 23, , 
2021/4/30, 44, 17, 25, , 1
2021/5/1, 44, 19, 34, , 1
2021/5/2, 42, 13, 29, , 
2021/5/3, 32, 24, 22, , 
2021/5/4, 55, 22, 28, 1, 
2021/5/5, 48, 13, 25, , 
2021/5/6, 31, 15, 37, , 
2021/5/7, 32, 15, 38, , 
2021/5/8, 31, 17, 40, , 
2021/5/9, 39, 16, 33, , 
2021/5/10, 36, 16, 22, 1, 
2021/5/11, 37, 14, 16, , 
2021/5/12, 37, 12, 21, 5, 1
2021/5/13, 32, 13, 34, , 
2021/5/14, 26, 14, 36, , 1
2021/5/15, 30, 16, 37, , 1
2021/5/16, 40, 17, 37, , 
2021/5/17, 40, 16, 26, 4, 
2021/5/18, 30, 14, 24, 2, 
2021/5/19, 31, 18, 28, 1, 
2021/5/20, 35, 19, 27, , 
2021/5/21, 39, 22, 33, 1, 
2021/5/22, 43, 21, 35, , 
2021/5/23, 52, 20, 34, , 
2021/5/24, 43, 29, 33, 1, 2
2021/5/25, 56, 19, 31, , 
2021/5/26, 39, 18, 28, , 
2021/5/27, 40, 25, 34, 1, 1
2021/5/28, 40, 18, 34, 1, 
2021/5/29, 34, 13, 32, , 
