date, pm25, o3, so2
2018/8/1, 42, 31, 1
2018/8/2, 30, 14, 1
2018/8/3, 16, 35, 1
2018/8/4, 23, 41, 1
2018/8/5, 37, 43, 2
2018/8/6, 43, 34, 1
2018/8/7, 39, 19, 1
2018/8/8, 21, 36, 1
2018/8/9, 32, 31, 1
2018/8/10, 50, 37, 1
2018/8/11, 46, 27, 1
2018/8/12, 56, 34, 1
2018/8/13, 67, 36, 2
2018/8/14, 66, 42, 2
2018/8/15, 67, 45, 1
2018/8/16, 54, 34, 1
2018/8/17, 56, 31, 1
2018/8/18, 51, 24, 1
2018/8/19, 56, 34, 2
2018/8/20, 66, 29, 1
2018/8/21, 63, 19, 3
2018/8/22, 54, 23, 1
2018/8/23, 35, 38, 4
2018/8/24, 50, 37, 1
2018/8/25, 50, 26, 1
2018/8/26, 38, 32, 1
2018/8/27, 45, 36, 1
2018/8/28, 45, 33, 1
2018/8/29, 17, 14, 1
2018/8/30, 12, 24, 
2018/8/31, 16, 47, 1
2018/9/1, 24, 32, 1
2018/9/2, 26, 27, 1
2018/9/3, 11, 20, 
2018/9/4, 19, 25, 1
2018/9/5, 17, 23, 2
2018/9/6, 15, 29, 
2018/9/7, 15, 25, 1
2018/9/8, 18, 23, 
2018/9/9, 13, 25, 
2018/9/10, 13, 33, 2
2018/9/11, 26, 39, 1
2018/9/12, 27, 42, 1
2018/9/13, 33, 42, 1
2018/9/14, 26, 41, 5
2018/9/15, 42, 55, 2
2018/9/16, 39, 37, 1
2018/9/17, 37, 35, 1
2018/9/18, 28, 10, 
2018/9/19, 8, 12, 
2018/9/20, 8, 36, 
2018/9/21, 26, 26, 2
2018/9/22, 13, 27, 1
2018/9/23, 16, 38, 2
2018/9/24, 19, 34, 1
2018/9/25, 27, 21, 1
2018/9/26, 27, 22, 
2018/9/27, 16, 28, 1
2018/9/28, 14, 19, 
2018/9/29, 19, 21, 
2018/9/30, 19, 20, 
2018/10/1, 18, 20, 
2018/4/2, 21, , 2
2018/4/3, 26, , 
2018/4/4, 13, , 
2018/4/5, 15, , 1
2018/4/6, 41, , 5
2018/4/7, 26, , 1
2018/4/8, 22, , 1
2018/4/9, 24, , 2
2018/4/10, 32, , 1
2018/4/11, 33, , 1
2018/4/12, 44, , 1
2018/4/13, 30, , 1
2018/4/14, 28, , 1
2018/4/15, 12, , 1
2018/4/16, 10, , 3
2018/4/17, 15, , 1
2018/4/18, 12, , 
2018/4/19, 12, , 2
2018/4/20, 16, , 8
2018/4/21, 50, , 3
2018/4/25, 26, , 2
2018/4/26, 12, , 1
2018/4/27, 18, , 1
2018/4/28, 8, , 1
2018/4/29, 14, , 1
2018/4/30, 24, , 1
2018/5/1, 27, , 4
2018/5/2, 36, , 1
2018/5/3, 20, , 1
2018/5/4, 16, , 1
2018/5/5, 26, , 1
2018/5/6, 38, , 1
2018/5/7, 15, , 1
2018/5/8, 24, , 1
2018/5/9, 51, , 1
2018/5/10, 41, , 1
2018/5/11, 16, , 1
2018/5/12, 11, , 1
2018/5/13, 13, , 1
2018/5/14, 29, , 1
2018/5/15, 28, 34, 1
2018/5/16, 21, 49, 1
2018/5/17, 25, 31, 1
2018/5/18, 15, 38, 1
2018/5/19, 11, 37, 1
2018/5/20, 27, 36, 1
2018/5/21, 12, 31, 1
2018/5/22, 23, 39, 1
2018/5/23, 27, 44, 1
2018/5/24, 25, 62, 1
2018/5/25, 34, 47, 1
2018/5/26, 40, 55, 1
2018/5/27, 32, 57, 1
2018/5/28, 43, 51, 1
2018/5/29, 34, 56, 
2018/5/30, 33, 39, 1
2018/5/31, 47, 41, 1
2018/6/1, 32, 29, 2
2018/6/2, 12, 20, 
2018/6/3, 12, 19, 
2018/6/4, 17, 44, 
2018/6/5, 15, 37, 
2018/6/6, 16, 32, 1
2018/6/7, 32, 35, 
