date, pm25, pm10, o3, no2
2019/9/2, 9, 4, , 6
2019/9/3, 9, 6, , 10
2019/9/4, 12, 6, , 9
2019/9/5, 12, 8, , 7
2019/9/6, 18, 5, , 8
2019/9/7, 11, 6, , 12
2019/9/8, 12, 7, , 4
2019/9/9, 15, 10, 23, 10
2019/9/10, 26, 6, 12, 7
2019/9/11, 12, 4, , 5
2019/9/12, 8, 5, 17, 9
2019/9/13, 11, 6, 17, 7
2019/9/14, 13, 6, 17, 5
2019/9/15, 13, 13, , 10
2019/9/16, 31, 6, , 8
2019/9/17, 14, 11, , 13
2019/9/18, 21, 8, , 15
2019/9/19, 20, 8, , 12
2019/9/20, 20, 9, , 9
2019/9/21, 24, 17, , 6
2019/9/22, 40, 23, 26, 19
2019/9/23, 52, 16, 20, 12
2019/9/24, 39, 16, 16, 19
2019/9/25, 44, 19, 15, 16
2019/9/26, 47, 11, 15, 9
2019/9/27, 23, 8, 15, 11
2019/9/28, 16, 3, 16, 12
2019/9/29, 13, 8, , 14
2019/9/30, 19, 7, , 18
2019/10/1, 12, 8, , 18
2019/4/2, 38, 5, 31, 16
2019/4/3, 17, 15, 34, 21
2019/4/4, 25, 19, 36, 26
2019/4/5, 36, 32, 34, 21
2019/4/6, 59, 35, 36, 13
2019/4/7, 75, 24, 37, 6
2019/4/8, 55, 30, , 19
2019/4/9, 53, 26, , 21
2019/4/10, 47, 20, , 10
2019/4/11, 41, 24, , 14
2019/4/12, 52, 15, , 7
2019/4/13, 37, 11, 36, 5
2019/4/14, 24, 13, 37, 5
2019/4/15, 28, 29, 35, 8
2019/4/16, 55, 38, 39, 12
2019/4/17, 64, 37, 39, 14
2019/4/18, 61, 39, 36, 17
2019/4/19, 72, 34, 39, 11
2019/4/20, 63, 39, 43, 14
2019/4/21, 82, 40, 41, 10
2019/4/22, 92, 36, 45, 10
2019/4/23, 79, 48, 41, 21
2019/4/24, 79, 71, 41, 30
2019/4/25, 113, 30, 29, 12
2019/4/26, 70, 22, 24, 6
2019/4/27, 52, 14, 28, 18
2019/4/28, 42, 13, , 10
2019/4/29, 38, 11, , 6
2019/4/30, 28, 17, , 9
2019/5/1, 47, 17, 31, 22
2019/5/2, 50, 10, 32, 16
2019/5/3, 23, 11, 24, 10
