date, pm25, o3, no2, so2, co
2021/5/20, 73, , , , 
2021/5/21, 69, , , , 
2021/5/22, 81, , , , 
2021/5/23, 61, , , , 
2021/5/24, 62, , , , 
2021/5/25, 64, , , , 
2021/5/26, 43, , , , 
2021/6/8, 63, , , , 
2021/6/9, 49, , , , 
2021/6/10, 60, , , , 
2021/6/11, 56, , , , 
2021/6/12, 59, , , , 
2021/6/13, 67, , , , 
2021/6/14, 56, , , , 
2021/6/15, 63, , , , 
2021/6/16, 73, , , , 
2021/6/17, 59, , , , 
2021/6/18, 63, , , , 
2021/6/19, 76, , , , 
2021/6/20, 55, , , , 
2021/6/21, 61, , , , 
2021/6/22, 60, , , , 
2021/6/23, 77, , , , 
2021/6/24, 75, , , , 
2021/6/25, 62, , , , 
2021/6/26, 54, , , , 
2021/6/27, 69, , , , 
2021/6/28, 57, , , , 
2021/6/29, 66, , , , 
2021/6/30, 66, , , , 
2021/7/1, 65, , , , 
2021/1/5, 59, , , , 
2021/1/6, 36, , , , 
2021/1/7, 62, , , , 
2021/1/8, 70, , , , 
2021/1/9, 83, , , , 
2021/1/10, 109, , , , 
2021/1/11, 130, , , , 
2021/1/12, 139, , , , 
2021/1/16, 37, , , , 
2021/1/17, 47, , , , 
2021/1/18, 75, , , , 
2021/1/19, 58, , , , 
2021/1/20, 33, , , , 
2021/1/21, 31, , , , 
2021/1/22, 37, , , , 
2021/1/23, 58, , , , 
2021/1/24, 91, , , , 
2021/1/25, 120, , , , 
2021/1/26, 151, , , , 
2021/1/27, 162, , , , 
2021/1/28, 152, , , , 
2021/1/29, 135, , , , 
2021/1/30, 91, , , , 
2021/1/31, 46, , , , 
2021/2/1, 69, , , , 
2021/2/2, 70, , , , 
2021/2/3, 100, , , , 
2021/2/4, 130, , , , 
2021/2/5, 155, , , , 
2021/2/6, 117, , , , 
2021/2/7, 58, , , , 
2021/2/8, 68, , , , 
2021/2/9, 94, , , , 
2021/2/10, 109, , , , 
2021/2/11, 88, , , , 
2021/2/12, 79, , , , 
2021/2/13, 85, , , , 
2021/2/14, 92, , , , 
2021/2/15, 86, , , , 
2021/2/16, 77, , , , 
2021/2/17, 79, , , , 
2021/2/18, 36, , , , 
2021/2/19, 52, , , , 
2021/2/20, 45, , , , 
2021/2/21, 36, , , , 
2021/2/22, 62, , , , 
2021/2/23, 52, , , , 
2021/2/24, 81, , , , 
2021/2/25, 61, , , , 
2021/2/26, 12, , , , 
2021/3/4, 80, , , , 
2021/3/5, 61, , , , 
2021/3/6, 35, , , , 
2021/3/7, 106, , , , 
2021/3/8, 103, , , 14, 
