date, pm25, pm10, no2
2021/7/30, 24, 6, 7
2021/7/31, 10, 9, 7
2021/8/1, 24, 9, 6
2021/8/2, 20, 8, 8
2021/8/3, 13, 4, 5
2021/8/4, 6, 7, 9
2021/8/5, 11, 5, 6
2021/8/6, 10, 7, 9
2021/8/7, 12, 7, 7
2021/8/8, 16, 5, 4
2021/8/9, 13, 10, 8
2021/8/10, 22, 10, 8
2021/8/11, 23, 10, 11
2021/8/12, 21, 11, 11
2021/8/13, 23, 13, 10
2021/8/14, 25, 7, 5
2021/8/15, 20, 4, 3
2021/8/16, 7, 6, 9
2021/8/17, 12, 6, 8
2021/8/18, 15, 5, 8
2021/8/19, 15, 5, 7
2021/8/20, 8, 8, 10
2021/8/21, 10, 5, 7
2021/8/22, 9, 5, 9
2021/8/23, 12, 7, 9
2021/8/24, 11, 6, 10
2021/8/25, 11, 6, 6
2021/8/26, 12, 4, 6
2021/8/27, 11, 7, 6
2021/8/28, 21, 12, 7
2021/8/29, 30, 12, 5
2021/8/30, 31, 12, 7
2021/8/31, 27, 10, 7
2021/9/1, 21, 10, 8
2021/9/2, 17, 9, 8
2021/9/3, 14, 7, 8
2021/9/4, 14, 6, 9
2021/9/5, 11, 6, 12
2021/9/6, 14, 9, 12
2021/9/7, 15, 10, 11
2021/9/8, 19, 10, 9
2021/9/9, 23, 13, 10
2021/9/10, 27, 15, 10
2021/9/11, 38, 18, 9
2021/9/12, 46, 15, 8
2021/9/13, 41, 6, 8
2021/9/14, 9, 10, 14
2021/9/15, 14, 8, 12
2021/9/16, 16, 6, 11
2021/9/17, 14, 9, 11
2021/9/18, 21, 6, 6
2021/9/19, 15, 6, 6
2021/9/20, 17, 9, 11
2021/9/21, 21, 14, 19
2021/9/22, 30, 10, 12
2021/9/23, 22, 6, 8
2021/9/24, 17, 3, 7
2021/9/25, 5, 6, 8
2021/9/26, 16, 7, 12
2021/9/27, 15, 3, 4
2021/9/28, 8, 7, 2
2021/9/29, 19, 14, 3
2021/9/30, 35, 18, 3
2021/10/1, 43, 7, 4
2021/4/2, 13, 19, 6
2021/4/3, 13, 14, 4
2021/4/4, 10, 30, 4
2021/4/5, 21, 13, 3
2021/4/6, 15, 20, 5
2021/4/7, 12, 22, 8
2021/4/8, 15, 44, 14
2021/4/9, 29, 11, 5
2021/4/10, 13, 13, 5
2021/4/11, 12, 16, 5
2021/4/12, 15, 20, 12
2021/4/13, 31, 20, 11
2021/4/14, 16, 24, 11
2021/4/15, 18, 61, 19
2021/4/16, 43, 40, 10
2021/4/17, 25, 23, 6
2021/4/18, 20, 24, 6
2021/4/19, 21, 35, 11
2021/4/20, 28, 28, 12
2021/4/21, 24, 39, 12
2021/4/22, 28, 17, 10
2021/4/23, 19, 10, 6
2021/4/24, 9, 10, 3
2021/4/25, 8, 8, 3
2021/4/26, 8, 11, 6
2021/4/27, 12, 19, 10
2021/4/28, 16, 34, 18
2021/4/29, 30, 20, 12
2021/4/30, 27, 26, 10
2021/5/1, 20, 17, 6
2021/5/2, 17, 8, 2
2021/5/3, 11, 27, 14
2021/5/4, 24, 31, 8
2021/5/5, 28, 5, 9
2021/5/6, 15, 3, 7
2021/5/7, 9, 9, 8
2021/5/8, 13, 20, 7
2021/5/9, 25, 15, 4
2021/5/10, 29, 22, 8
2021/5/11, 51, 37, 15
2021/5/12, 50, 34, 6
2021/5/13, 43, 34, 7
2021/5/14, 50, 34, 14
2021/5/15, 55, 13, 5
2021/5/16, 36, 11, 3
2021/5/17, 25, 9, 7
2021/5/18, 20, 19, 9
2021/5/19, 32, 31, 12
2021/5/20, 25, 22, 10
2021/5/21, 26, 16, 10
2021/5/22, 21, 11, 8
2021/5/23, 19, 14, 5
2021/5/24, 27, 10, 8
2021/5/25, 20, 12, 10
2021/5/26, 25, 5, 9
2021/5/27, 14, 2, 7
2021/5/28, 4, 10, 9
2021/5/29, 25, 15, 8
2021/5/30, 27, 18, 11
2021/5/31, 31, 19, 11
2021/6/1, 24, 14, 9
2021/6/2, 19, 20, 10
2021/6/3, 27, 33, 15
2021/6/4, 37, 24, 14
2021/6/5, 31, 24, 10
2021/6/6, 33, 20, 7
2021/6/7, 41, 31, 14
2021/6/8, 44, 25, 12
2021/6/9, 53, 26, 11
2021/6/10, 52, 21, 14
2021/6/11, 34, 17, 9
2021/6/12, 27, 12, 5
2021/6/13, 25, 6, 4
2021/6/14, 11, 11, 7
2021/6/15, 20, 9, 6
2021/6/16, 13, 14, 7
2021/6/17, 17, 19, 6
2021/6/18, 27, 22, 6
2021/6/19, 38, 20, 6
2021/6/20, 44, 26, 5
2021/6/21, 60, 21, 9
2021/6/22, 42, 27, 10
2021/6/23, 52, 12, 8
2021/6/24, 25, 12, 8
2021/6/25, 28, 13, 5
2021/6/26, 37, 10, 5
2021/6/27, 28, 10, 7
2021/6/28, 25, 13, 7
2021/6/29, 29, 15, 8
2021/6/30, 29, 12, 5
2021/7/1, 25, 10, 5
2021/1/13, 13, 6, 13
2021/1/14, 18, 9, 10
2021/1/15, 30, 6, 10
2021/1/16, 18, 5, 9
2021/1/17, 16, 6, 10
2021/1/18, 18, 10, 13
2021/1/19, 28, 16, 11
2021/1/20, 44, 20, 5
2021/1/21, 60, 9, 6
2021/1/22, 28, 5, 4
2021/1/23, 17, , 
2021/1/25, 31, 4, 10
2021/1/26, 13, 3, 9
2021/1/27, 7, 4, 10
2021/1/28, 12, 8, 14
2021/1/29, 22, 7, 8
2021/1/30, 23, , 
2021/2/2, 33, 12, 21
2021/2/3, 32, 8, 7
2021/2/4, 25, 7, 9
2021/2/5, 23, 9, 12
2021/2/6, 28, 7, 8
2021/2/7, 22, 5, 10
2021/2/8, 14, 4, 14
2021/2/9, 13, 5, 14
2021/2/10, 13, 7, 17
