date, pm25, pm10, o3, no2, so2
2022/2/1, 75, 104, , 21, 5
2022/2/2, 106, 124, , 7, 4
2022/2/3, 126, 104, , 13, 5
2022/2/4, 89, 94, , 16, 5
2022/2/5, 81, 117, , 17, 5
2022/2/6, 96, 109, , 2, 8
2022/2/7, 78, 75, , 3, 5
2022/2/8, 42, 71, , 3, 6
2022/2/9, 35, 78, , 6, 8
2022/2/10, 44, 68, , 17, 5
2022/2/11, 65, 85, , 18, 5
2022/2/12, 76, 82, , 19, 5
2022/2/13, 69, 90, , 5, 7
2022/2/14, 58, 90, , 8, 4
2022/2/15, 59, 78, , 13, 6
2022/2/16, 62, 72, , 14, 2
2022/2/17, 67, 81, , 11, 21
2022/2/18, 76, 91, , 13, 5
2022/2/19, 61, 74, , 18, 6
2022/2/20, 50, 65, , 18, 5
2022/2/21, 64, 63, , 12, 7
2022/2/22, 114, 65, , 4, 9
2022/2/23, 111, 118, , 6, 7
2022/2/24, 154, 105, , 15, 5
2022/2/25, 159, 102, , 16, 7
2022/2/26, 147, 125, , 20, 4
2022/2/27, 126, 94, , 22, 11
2022/2/28, 92, 59, , 10, 11
2022/3/1, 89, 56, , 5, 17
2022/3/2, 56, 60, , 10, 11
2022/3/3, 66, 61, , 19, 7
2022/3/4, 69, 71, , 22, 7
2022/3/5, 97, 103, , 24, 7
2022/3/6, 79, 94, , 18, 9
2022/3/7, 117, 152, , 19, 8
2022/3/8, 152, 211, , 17, 7
2022/3/9, 134, 213, , 12, 7
2022/3/10, 61, 88, , 22, 10
2022/3/11, 73, 105, , 21, 9
2022/3/12, 99, 127, , 21, 8
2022/3/13, 93, 108, , 20, 9
2022/3/14, 95, 97, , 23, 8
2022/3/15, 89, 96, , 23, 8
2022/3/16, 116, 100, , 20, 9
2022/3/17, 86, 86, , 3, 8
2022/3/18, 63, 69, , 3, 9
2022/3/19, 38, 61, , 3, 11
2022/3/20, 40, 64, , 3, 11
2022/3/21, 54, 66, , 12, 11
2022/3/22, 75, 83, , 16, 13
2022/3/23, 110, 104, , 24, 13
2022/3/24, 133, 118, , 30, 12
2022/3/25, 120, 108, , 24, 8
2022/3/26, 111, 104, , 4, 8
2022/3/27, 88, 88, , 3, 4
2022/3/28, 68, 74, , 4, 15
2022/3/29, 48, 69, , 4, 5
2021/10/2, 84, 49, , 8, 2
2021/10/3, 78, 61, , 6, 2
2021/10/4, 97, 84, , 5, 1
2021/10/5, 41, 52, , 7, 4
2021/10/6, 45, 52, , 9, 2
2021/10/7, 61, 57, , 15, 3
2021/10/8, 60, 57, , 10, 1
2021/10/9, 61, 50, , 5, 1
2021/10/10, 106, 85, , 5, 3
2021/10/11, 74, 59, , 6, 1
2021/10/12, 33, 62, , 14, 3
2021/10/13, 81, 88, , 18, 3
2021/10/14, 99, 90, , 13, 2
2021/10/15, 64, 58, , 6, 3
2021/10/16, 83, 65, , 7, 3
2021/10/17, 114, 60, , 13, 3
2021/10/18, 95, 69, , 11, 3
2021/10/19, 83, 70, , 2, 2
2021/10/20, 62, 69, , 8, 3
2021/10/21, 77, 69, , 4, 4
2021/10/22, 84, 68, , 2, 4
2021/10/23, 60, 69, , 6, 6
2021/10/24, 90, 68, , 5, 8
2021/10/25, 85, 69, , 15, 11
2021/10/26, 89, 69, , 12, 6
2021/10/27, 76, 68, , 13, 8
2021/10/28, 61, 69, , 9, 3
2021/10/29, 54, 68, , 7, 2
2021/10/30, 75, 72, , 8, 3
2021/10/31, 76, 73, , 11, 3
2021/11/1, 57, 74, , 12, 3
2021/11/2, 91, 87, , 8, 2
2021/11/3, 107, 86, , 11, 3
2021/11/4, 108, 81, , 14, 6
2021/11/5, 118, 94, , 14, 8
2021/11/6, 136, 105, , 9, 7
2021/11/7, 115, 96, , 19, 6
2021/11/8, 71, 91, , 14, 2
2021/11/9, 61, 112, , 15, 4
2021/11/10, 73, 69, , 13, 5
2021/11/11, 64, 45, , 14, 5
2021/11/12, 47, 34, , 16, 3
2021/11/13, 44, 48, , 12, 3
2021/11/14, 51, 51, , 4, 6
2021/11/15, 45, 47, , 15, 6
2021/11/16, 71, 63, , 13, 3
2021/11/17, 65, 62, , 17, 5
2021/11/18, 78, 64, , 12, 5
2021/11/19, 79, 57, , 5, 5
2021/11/20, 77, 63, , 16, 5
2021/11/21, 68, 72, , 22, 5
2021/11/22, 71, 73, , 18, 4
2021/11/23, 57, 62, , 15, 6
2021/11/24, 60, 66, , 7, 4
2021/11/25, 58, 60, , 7, 7
2021/11/26, 43, 63, , 10, 4
2021/11/27, 51, 71, , 11, 6
2021/11/28, 79, 69, , 6, 9
2021/11/29, 80, 65, , 6, 6
2021/11/30, 48, 71, , 9, 5
2021/12/1, 67, 67, , 13, 3
2021/12/2, 56, 62, , 15, 4
2021/12/3, 57, 62, , 14, 6
2021/12/4, 62, 62, , 3, 7
2021/12/5, 34, 59, , 9, 7
2021/12/6, 40, 71, , 12, 6
2021/12/7, 60, 58, , 13, 6
2021/12/8, 57, 65, , 15, 2
2021/12/9, 62, 69, , 25, 3
2021/12/10, 57, 75, , 23, 3
2021/12/11, 55, 70, , 16, 7
2021/12/12, 86, 69, , 4, 7
2021/12/13, 67, 67, , 14, 7
2021/12/14, 84, 69, , 26, 7
2021/12/15, 80, 71, , 30, 4
2021/12/16, 76, 66, , 25, 4
2021/12/17, 62, 64, , 21, 3
2021/12/18, 57, 63, , 19, 3
2021/12/19, 47, 72, , 21, 5
2021/12/20, 51, 69, , 20, 4
2021/12/21, 45, 71, , 25, 5
2021/12/22, 60, 72, , 15, 4
2021/12/23, 91, 86, , 4, 6
2021/12/24, 52, 67, , 11, 8
2021/12/25, 35, 53, , 9, 7
2021/12/26, 32, 59, , 5, 4
