date, pm25, o3
2015/8/17, 54, 41
2015/8/18, 45, 37
2015/8/19, 37, 31
2015/8/20, 17, 26
2015/8/21, 26, 33
2015/8/22, 38, 38
2015/8/23, 39, 25
2015/8/24, 36, 23
2015/8/25, 19, 30
2015/8/26, 30, 34
2015/8/27, 36, 34
2015/8/28, 39, 39
2015/8/29, 45, 37
2015/8/30, 54, 35
2015/8/31, 60, 46
2015/9/1, 58, 36
2015/9/2, 58, 43
2015/9/3, 58, 42
2015/9/4, 60, 42
2015/9/5, 64, 47
2015/9/6, 65, 48
2015/9/7, 69, 44
2015/9/8, 67, 37
2015/9/9, 54, 30
2015/9/10, 32, 30
2015/9/11, 36, 36
2015/9/12, 28, 26
2015/9/13, 20, 23
2015/9/14, 34, 35
2015/9/15, 30, 36
2015/9/16, 37, 39
2015/9/17, 48, 40
2015/9/18, 53, 38
2015/9/19, 52, 37
2015/9/20, 28, 28
2015/9/21, 30, 29
2015/9/22, 36, 36
2015/9/23, 46, 45
2015/9/24, 54, 55
2015/9/25, 50, 49
2015/9/26, 55, 48
2015/9/27, 35, 28
2015/9/28, 37, 20
2015/9/29, 46, 5
2015/9/30, 59, 22
2015/10/1, 24, 26
2015/4/2, 45, 29
2015/4/3, 31, 26
2015/4/4, 28, 33
2015/4/5, 29, 35
2015/4/6, 29, 25
2015/4/10, 30, 38
2015/4/11, 27, 37
2015/4/12, 37, 41
2015/4/15, 32, 35
2015/4/16, 23, 39
2015/4/17, 46, 39
2015/4/18, 59, 36
2015/4/22, 35, 34
2015/4/23, 26, 39
2015/4/24, 32, 36
2015/4/25, 40, 26
2015/4/26, 39, 40
2015/4/27, 28, 37
2015/4/28, 34, 41
2015/4/29, 34, 43
2015/4/30, 40, 38
2015/5/1, 36, 39
2015/5/2, 37, 45
2015/5/3, 38, 46
2015/5/4, 37, 45
2015/5/5, 45, 47
2015/5/6, 49, 48
2015/5/7, 44, 39
2015/5/8, 42, 21
2015/5/9, 40, 21
2015/5/10, 39, 32
2015/5/11, 33, 29
2015/5/12, 37, 42
2015/5/13, 26, 38
2015/5/14, 35, 33
2015/5/15, 33, 31
2015/5/16, 37, 23
2015/5/17, 32, 32
2015/5/18, 40, 34
2015/5/20, 33, 24
2015/5/21, 33, 39
2015/5/22, 34, 44
2015/5/23, 33, 47
2015/5/24, 36, 35
2015/5/25, 37, 30
2015/5/26, 28, 37
2015/5/27, 30, 41
2015/5/28, 28, 35
2015/5/29, 34, 26
2015/5/30, 34, 22
2015/5/31, 31, 16
2015/6/1, 36, 23
2015/6/2, 35, 38
2015/6/3, 40, 32
2015/6/4, 46, 27
2015/6/5, 43, 44
2015/6/6, 36, 47
2015/6/7, 35, 32
2015/6/8, 42, 40
2015/6/9, 34, 58
2015/6/10, 35, 51
2015/6/11, 33, 46
2015/6/12, 39, 31
2015/6/13, 48, 27
2015/6/14, 32, 16
2015/6/18, 48, 12
2015/6/19, 45, 16
2015/1/16, 47, 
2015/1/27, 38, 13
2015/1/28, 39, 
2015/1/30, 35, 20
2015/1/31, 46, 13
2015/2/1, 45, 23
2015/2/2, 32, 25
2015/2/3, 36, 21
2015/2/4, 36, 21
2015/2/5, 40, 23
2015/2/6, 38, 23
2015/2/7, 40, 28
2015/2/8, 35, 33
2015/2/9, 38, 18
2015/2/10, 47, 25
2015/2/11, 43, 19
2015/2/12, 44, 22
2015/2/13, 46, 19
2015/2/14, 40, 29
2015/2/15, 43, 22
2015/2/16, 30, 23
2015/2/17, 34, 23
2015/2/18, 47, 27
2015/2/19, 37, 24
2015/2/20, 46, 26
2015/2/23, 46, 26
2015/2/28, 42, 25
2015/3/1, 44, 
2015/3/6, 42, 31
2015/3/7, 45, 34
2015/3/8, 33, 32
2015/3/9, 44, 27
2015/3/10, 39, 16
2015/3/11, 45, 36
2015/3/12, 41, 36
2015/3/13, 67, 21
2015/3/14, 36, 
2015/3/15, 37, 
2015/3/16, 38, 26
2015/3/17, 31, 20
2015/3/18, 32, 22
2015/3/19, 32, 20
2015/3/20, 38, 17
2015/3/21, 45, 24
2015/3/22, 46, 28
2015/3/23, 39, 20
2015/3/24, 36, 11
2015/3/25, 49, 16
2015/3/26, 48, 21
2015/3/27, 34, 21
2015/3/28, 38, 26
2015/3/29, 41, 26
2015/3/30, 38, 27
2015/3/31, 46, 30
2015/4/1, 50, 39
2021/5/11, , 27
2021/5/12, , 30
2021/5/13, , 33
2021/5/14, , 39
2021/5/15, , 32
2021/5/16, , 33
2021/5/17, , 31
2021/5/18, , 27
2021/5/19, , 31
2021/5/20, , 35
2021/5/21, , 40
2021/5/22, , 37
2021/5/23, , 47
2021/5/24, , 38
2021/5/25, , 34
2021/5/26, , 43
2020/7/3, , 44
2020/7/4, , 47
2020/7/5, , 47
2020/7/6, , 48
2020/8/1, , 20
2020/4/26, , 35
2020/4/27, , 35
2020/4/28, , 24
2020/4/29, , 25
2020/3/8, , 32
2020/3/9, , 24
2019/10/11, , 16
2019/10/12, , 30
2019/10/13, , 32
2019/10/14, , 33
2019/10/15, , 28
2019/10/16, , 21
2019/10/17, , 21
2019/10/18, , 28
2019/10/19, , 25
2019/10/20, , 25
2019/10/21, , 25
2019/10/22, , 25
2019/10/23, , 31
2019/10/24, , 16
2019/10/25, , 13
2019/10/26, , 16
2019/10/27, , 23
2019/10/28, , 14
2019/10/29, , 12
2019/10/30, , 9
2019/10/31, , 17
2019/11/1, , 24
2019/11/2, , 22
2019/11/3, , 24
2019/11/4, , 17
2019/11/5, , 23
2019/5/16, , 43
2019/5/17, , 46
2019/5/18, , 45
2019/5/19, , 45
2019/5/20, , 31
2019/5/21, , 40
2019/5/22, , 39
2019/5/23, , 34
2019/1/1, , 10
2019/2/4, , 17
2019/2/18, , 30
2019/2/19, , 27
2018/12/8, , 19
2018/12/9, , 17
2018/12/10, , 10
2018/12/11, , 21
2018/12/12, , 24
2018/12/13, , 6
2018/12/14, , 8
2018/12/15, , 15
2018/12/16, , 18
2018/12/17, , 15
2018/12/18, , 13
2018/12/19, , 18
2018/12/20, , 8
2018/12/25, , 23
2018/12/26, , 21
2017/7/4, , 42
2017/8/27, , 41
2017/8/28, , 40
2017/8/29, , 37
2017/8/30, , 35
2017/8/31, , 33
2017/9/1, , 25
2017/9/2, , 37
2017/9/3, , 41
2017/9/4, , 39
2017/9/9, , 14
2017/5/27, , 38
2017/5/28, , 35
2017/5/29, , 41
2017/5/30, , 42
2017/5/31, , 49
2017/6/1, , 49
2017/6/2, , 60
2017/6/3, , 55
